epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
75,714.306,0.57433,0.31986,0.83347,0.98745,0.96829,0.98276,0.86047,0.54154,0.28719,0.83923,0.0256044,0.0085348,0.0256044,0.0085348,0.0256044,0.0085348,0.0256044,0.0085348
76,723.748,0.55913,0.30868,0.82688,0.9905,0.96268,0.98206,0.86483,0.52453,0.28715,0.83288,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
77,733.112,0.57112,0.30981,0.8312,0.9902,0.97231,0.98368,0.86359,0.53452,0.27021,0.83714,0.0254856,0.0084952,0.0254856,0.0084952,0.0254856,0.0084952,0.0254856,0.0084952
78,742.515,0.57527,0.31396,0.8274,0.99222,0.97231,0.98107,0.85193,0.54319,0.26965,0.84026,0.0254262,0.0084754,0.0254262,0.0084754,0.0254262,0.0084754,0.0254262,0.0084754
79,751.962,0.5598,0.31069,0.82954,0.99045,0.97231,0.98123,0.85476,0.5445,0.27825,0.83401,0.0253668,0.0084556,0.0253668,0.0084556,0.0253668,0.0084556,0.0253668,0.0084556
80,761.294,0.58239,0.32149,0.82918,0.99639,0.96923,0.98452,0.85392,0.562,0.29269,0.8375,0.0253074,0.0084358,0.0253074,0.0084358,0.0253074,0.0084358,0.0253074,0.0084358
81,770.681,0.57276,0.32013,0.82337,0.99312,0.96923,0.98372,0.8783,0.50387,0.28255,0.82896,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
82,780.093,0.55842,0.31531,0.82549,0.99506,0.96308,0.98237,0.86174,0.52169,0.28515,0.83101,0.0251886,0.0083962,0.0251886,0.0083962,0.0251886,0.0083962,0.0251886,0.0083962
83,789.5,0.56028,0.31734,0.82971,0.99681,0.96263,0.98347,0.86534,0.53336,0.28425,0.83246,0.0251292,0.0083764,0.0251292,0.0083764,0.0251292,0.0083764,0.0251292,0.0083764
84,798.869,0.5479,0.30872,0.82393,0.9936,0.95692,0.9723,0.85411,0.52927,0.27804,0.8341,0.0250698,0.0083566,0.0250698,0.0083566,0.0250698,0.0083566,0.0250698,0.0083566
